country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
ALB,Elbasan,2018,\N,\N,\N,41.111,20.0817
ALB,Elbasan,2019,\N,\N,\N,41.111,20.0817
ALB,Elbasan,2020,\N,\N,\N,41.111,20.0817
ALB,Kastrat,2018,\N,\N,\N,42.3139,19.5234
ALB,Kastrat,2019,\N,\N,\N,42.3139,19.5234
ALB,Kastrat,2020,\N,\N,\N,42.3139,19.5234
ALB,Korçë,2018,\N,\N,\N,40.6259,20.7802
ALB,Korçë,2019,\N,\N,\N,40.6259,20.7802
ALB,Vlorë,2019,10.0,\N,\N,40.4031,19.4862
DZA,Algiers,2019,22.0,\N,\N,36.7558,3.03911
ARG,Buenos aires,2014,10.0,\N,\N,-34.56,-58.506
AUS,Busselton,2010,8.0,\N,\N,-33.6482,115.352
AUS,Busselton,2012,9.0,\N,\N,-33.6482,115.352
AUS,Busselton,2013,8.0,\N,\N,-33.6482,115.352
AUS,Busselton,2014,7.0,\N,\N,-33.6482,115.352
AUS,Busselton,2015,9.0,\N,\N,-33.6482,115.352
AUS,Busselton,2016,8.0,\N,\N,-33.6482,115.352
AUS,Canberra,2014,7.0,\N,\N,-35.4188118,149.0969086
AUS,Central coast,2014,6.0,\N,\N,-33.2788887,151.4324951
AUS,"Devonport, tasmania",2013,6.0,\N,\N,-41.18479919,146.345993
AUS,Hobart,2010,36.0,\N,\N,41.5322592,-87.2550353
AUS,Hobart,2011,25.0,\N,\N,41.5322592,-87.2550353
AUS,Hobart,2012,38.0,\N,\N,41.5322592,-87.2550353
AUS,Hobart,2013,49.0,\N,\N,41.5322592,-87.2550353
AUS,"Launceston, tasmania",2013,8.0,\N,\N,-41.41740036,147.125
AUS,Lower hunter,2014,7.0,\N,\N,-32.87564723,151.6958364
AUS,Melbourne,2010,23.0,\N,\N,-37.8136276,144.9630576
AUS,Melbourne,2011,20.0,\N,\N,-37.8136276,144.9630576
AUS,Melbourne,2012,26.0,\N,\N,-37.8136276,144.9630576
AUS,Upper hunter,2014,8.0,\N,\N,-32.43379593,151.0515747
AUT,Am rechen,2013,\N,\N,16.0,48.21333333,15.19722222
AUT,Amlach,2013,\N,\N,14.0,46.8191,12.766
AUT,Amlach,2014,\N,\N,13.0,46.8191,12.766
AUT,Amlach,2015,\N,\N,14.0,46.8191,12.766
AUT,Amlach,2016,\N,\N,13.0,46.8191,12.766
AUT,Amlach,2017,\N,\N,13.0,46.8191,12.766
AUT,Amlach,2018,\N,\N,12.0,46.8191,12.766
AUT,Amlach,2019,\N,\N,12.0,46.8191,12.766
AUT,Amlach,2020,\N,\N,13.0,46.8191,12.766
AUT,Amlach,2021,\N,\N,14.0,46.8191,12.766
AUT,Bad Dürrnberg,2013,\N,\N,16.0,47.667,13.106
AUT,Bad Dürrnberg,2014,\N,\N,12.0,47.667,13.106
AUT,Bad Dürrnberg,2015,\N,\N,12.0,47.667,13.106
AUT,Bad Dürrnberg,2016,\N,\N,11.0,47.667,13.106
AUT,Bad Dürrnberg,2017,\N,\N,12.0,47.667,13.106
AUT,Bad Dürrnberg,2018,\N,\N,11.0,47.667,13.106
AUT,Bad Dürrnberg,2019,\N,\N,10.0,47.667,13.106
AUT,Bad Dürrnberg,2020,\N,\N,9.0,47.667,13.106
AUT,Bad Dürrnberg,2021,\N,\N,9.0,47.667,13.106
AUT,Bludenz,2018,\N,\N,\N,47.1565,9.8229
AUT,Breitenbach am Inn,2013,\N,\N,51.0,47.4689,11.958
AUT,Breitenbach am Inn,2014,\N,\N,48.0,47.4689,11.958
AUT,Breitenbach am Inn,2015,\N,\N,47.0,47.4689,11.958
AUT,Breitenbach am Inn,2016,\N,\N,43.0,47.4689,11.958
AUT,Breitenbach am Inn,2017,\N,\N,41.0,47.4689,11.958
AUT,Breitenbach am Inn,2018,\N,\N,37.0,47.4689,11.958
AUT,Breitenbach am Inn,2019,\N,\N,34.0,47.4689,11.958
AUT,Breitenbach am Inn,2020,\N,\N,25.0,47.4689,11.958
AUT,Breitenbach am Inn,2021,\N,\N,24.0,47.4689,11.958
AUT,Dalaas,2010,\N,\N,29.0,47.127777,10.046956
AUT,Dalaas,2013,\N,\N,28.0,47.128863,10.034324
AUT,Durnrohr,2013,19.0,\N,15.0,48.33111111,15.90361111
AUT,Ennsdorf,2013,\N,\N,24.0,48.1923,14.5195
AUT,Ennsdorf,2014,16.0,\N,25.0,48.1923,14.5195
AUT,Ennsdorf,2015,15.0,\N,24.0,48.1923,14.5195
AUT,Ennsdorf,2016,14.0,\N,23.0,48.1923,14.5195
AUT,Ennsdorf,2017,14.0,\N,22.0,48.1923,14.5195
AUT,Ennsdorf,2018,14.0,\N,22.0,48.1923,14.5195
AUT,Ennsdorf,2019,13.0,\N,21.0,48.1923,14.5195
AUT,Galtür,2018,\N,\N,7.0,46.9681,10.1857
