country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
CHN,China,Chizhou,201,5,201,5,159,30.6583,117.4849
GBR,United Kingdom of Great Britain and Northern Ireland,Chorley,63,0,32,1,63,53.653,-2.632
THA,Thailand,Chumphon,41,0,15,0,41,10.4939,99.18
USA,United States of America,Atascocita,53,1,11,13,53,29.9777,-95.1953
USA,United States of America,Aurora,78,2,7,14,78,39.7083,-104.7237
USA,United States of America,Aurora,78,2,7,14,78,41.7638,-88.2902
USA,United States of America,Aurora,78,2,7,14,78,13.35,122.5167
USA,United States of America,Aurora,78,2,7,14,78,44.0,-79.4667
USA,United States of America,Aurora,78,2,7,14,78,7.9484,123.5819
USA,United States of America,Aurora,78,2,7,14,78,16.9918,121.6357
USA,United States of America,Aurora,78,2,7,14,78,-6.9428,-38.9678
USA,United States of America,Aurora,78,2,7,14,78,41.3118,-81.345
USA,United States of America,Aurora,78,2,7,14,78,42.7382,-78.6373
ESP,Spain,Azpeitia,33,0,33,0,20,43.1819,-2.2653
CMR,Cameroon,Bafang,75,3,15,1,75,5.15,10.1833
USA,United States of America,Baldwin,55,2,28,12,55,40.6511,-73.6075
USA,United States of America,Baldwin,55,2,28,12,55,40.369,-79.9669
UKR,Ukraine,Bar,64,1,42,0,64,42.1,19.1
UKR,Ukraine,Bar,64,1,42,0,64,49.0781,27.6831
ITA,Italy,Barletta,48,1,48,1,35,41.3167,16.2833
USA,United States of America,Batavia,78,3,3,25,78,41.8479,-88.3109
USA,United States of America,Batavia,78,3,3,25,78,42.9987,-78.1802
LKA,Sri Lanka,Batticaloa,54,1,40,0,54,7.7167,81.7
CUB,Cuba,Bauta,65,1,23,2,65,22.9919,-82.5492
MDG,Madagascar,Bealanana,22,0,22,0,7,-14.55,48.7333
THA,Thailand,Phra Phutthabat,112,2,18,7,112,14.7212,100.8047
PHL,Philippines,Pila,89,2,26,7,89,14.2333,121.3667
DEU,Germany,Pocking,74,1,61,0,74,48.4,13.3167
ITA,Italy,Pomezia,78,1,78,0,28,41.6693,12.5021
USA,United States of America,Ponca City,50,1,47,0,50,36.7235,-97.0677
USA,United States of America,Poquoson,47,1,47,1,47,37.1318,-76.3568
