country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Mexico,Nuevo Casas Grandes,46,1,17,2,46,30.4167,-107.9167
United States of America,Oak Lawn,79,2,13,27,79,41.7139,-87.7528
United States of America,Oakdale,53,1,24,9,53,44.9876,-92.9641
United States of America,Oakdale,53,1,24,9,53,37.7618,-120.8468
Japan,Odawara,39,1,38,2,39,35.25,139.15
Republic of North Macedonia,Ohrid,42,1,41,0,42,41.1169,20.8019
Poland,Olecko,47,1,36,0,47,54.0333,22.5
Germany,Olfen,32,1,27,4,32,51.7167,7.3833
Brazil,Olindina,25,0,6,1,25,-11.3669,-38.3328
United States of America,Orem,73,2,26,7,73,40.2981,-111.6994
United States of America,Orinda,52,1,22,11,52,37.8808,-122.179
Guatemala,Ostuncalco,94,3,9,11,94,14.8693,-91.6211
Nigeria,Oyo,80,2,22,1,80,7.85,3.933
Italy,Pachino,48,1,45,0,48,36.7167,15.1
India,Padra,156,1,33,0,156,22.23,73.08
France,Paita,27,0,27,0,10,-5.0911,-81.1064
Philippines,Palo,55,1,20,0,55,11.1583,124.9917
China,Panshi,76,3,32,2,76,42.9392,126.0561
Brazil,Paragominas,36,1,2,0,36,-2.9958,-47.3528
Peru,Paramonga,41,1,18,1,41,-10.6744,-77.8186
United States of America,Parkville,56,1,44,4,56,39.3832,-76.5519
United States of America,Pasadena,58,1,43,5,58,29.6575,-95.1498
United States of America,Pasadena,58,1,43,5,58,34.1597,-118.139
United States of America,Pasadena,58,1,43,5,58,39.1552,-76.5537
United States of America,Pataskala,45,1,32,7,45,40.011,-82.7155
Kazakhstan,Pavlodar,50,1,41,0,50,52.3,76.95
United States of America,Pelham,46,1,46,2,31,40.9,-73.8063
United States of America,Pelham,46,1,46,2,31,33.3114,-86.7573
United States of America,Pelham,46,1,46,2,31,43.0333,-79.3333
United States of America,Pelham,46,1,46,2,31,42.7335,-71.324
Mexico,Perote,77,3,7,8,77,19.562,-97.242
Serbia,Petrovaradin,63,1,33,1,63,45.25,19.8667
Thailand,Phatthalung,59,1,27,0,59,7.5,100.0
Thailand,Phetchaburi,35,0,17,0,35,13.1119,99.9458
India,Phillaur,444,2,111,1,391,31.03,75.78
Egypt,Rosetta,60,2,60,3,55,31.4044,30.4164
Italy,Rossano,48,1,48,0,12,39.5667,16.6333
Russian Federation,Rostov,32,1,32,0,26,47.2333,39.7
Russian Federation,Rostov,32,1,32,0,26,57.1833,39.4167
United Kingdom of Great Britain and Northern Ireland,Royton,56,0,32,1,56,53.566,-2.121
Germany,Rudolstadt,32,1,32,1,30,50.7169,11.3275
Czechia,Rumburk,29,0,29,2,29,50.9516,14.5571
Malawi,Rumphi,28,0,19,0,28,-11.0167,33.8667
Brazil,Ruy Barbosa,18,0,8,0,18,-12.2839,-40.4939
Japan,Sakurai,40,1,40,2,34,34.5167,135.85
United Kingdom of Great Britain and Northern Ireland,Salford,58,0,32,1,58,53.483,-2.2931
Brazil,Salvador,30,0,16,1,30,-12.9747,-38.4767
Brazil,Salvador,30,0,16,1,30,20.2094,-75.2231
Turkey,Samsun,36,1,36,0,30,41.2903,36.3336
Indonesia,Prabumulih,49,1,30,0,49,-3.4328,104.2356
Brazil,Presidente Prudente,32,1,14,1,32,-22.1256,-51.3889
United States of America,Prichard,28,1,22,4,28,30.7735,-88.1301
Canada,Prince George,21,1,21,1,13,53.9169,-122.7494
Peru,Pucallpa,30,1,1,0,30,-8.3833,-74.55
Spain,Puertollano,32,1,30,1,32,38.6833,-4.1167
Israel,Qiryat Gat,80,1,62,4,80,31.6061,34.7717
Chile,Quillota,182,14,1,23,182,-32.8667,-71.25
India,Rafiganj,356,1,60,0,284,24.82,84.65
United States of America,Rahway,62,1,44,5,62,40.6077,-74.2807
India,Phulpur,226,1,48,1,226,24.955,90.3573
India,Phulpur,226,1,48,1,226,25.55,82.1
Brazil,Picos,16,0,12,0,16,15.083,-23.632
Brazil,Picos,16,0,12,0,16,-7.0769,-41.4669
Germany,Pirmasens,30,1,27,2,30,49.2,7.6
United States of America,Plum,55,2,26,12,55,40.5024,-79.7495
Italy,Policoro,46,1,46,0,14,40.2,16.6667
Sierra Leone,Port Loko,48,1,16,0,48,8.7667,-12.7875
United States of America,Poughkeepsie,43,1,43,2,39,41.695,-73.9211
United States of America,Randallstown,52,1,44,4,52,39.3723,-76.8024
Thailand,Ranong,36,0,16,0,36,9.9619,98.6389
Germany,Rathenow,39,0,39,0,23,52.6,12.3333
Russian Federation,Reutov,58,1,25,9,58,55.7622,37.8567
United States of America,Richardson,56,1,21,6,56,32.9716,-96.7093
United States of America,Richmond,76,2,15,17,76,37.5295,-77.4756
United States of America,Richmond,76,2,15,17,76,49.1667,-123.1333
United States of America,Richmond,76,2,15,17,76,37.9477,-122.3389
United States of America,Richmond,76,2,15,17,76,-41.3333,173.1833
United States of America,Richmond,76,2,15,17,76,39.8318,-84.8905
United States of America,Richmond,76,2,15,17,76,37.7307,-84.2925
United States of America,Richmond,76,2,15,17,76,51.456,-0.301
United States of America,Richmond,76,2,15,17,76,29.5824,-95.7563
United States of America,Richmond,76,2,15,17,76,-33.5983,150.7511
United States of America,Richmond,76,2,15,17,76,-20.7305,143.1425
Peru,Rioja,25,1,3,0,25,-6.05,-77.1417
France,Riom,40,1,30,1,40,45.8936,3.1125
Italy,Rocca Priora,47,1,47,2,27,41.7833,12.7667
France,Rodez,42,1,31,1,42,44.3506,2.575
Philippines,Romblon,50,1,23,0,50,12.55,122.28
United States of America,Daly City,62,1,18,13,62,37.6862,-122.4685
Brazil,Delmiro Gouveia,25,0,9,1,25,-9.3858,-37.9958
Russian Federation,Desnogorsk,34,1,34,0,10,54.15,33.2833
Turkey,Develi,46,1,29,0,46,38.3886,35.4925
Ukraine,Dniprorudne,39,1,39,0,12,47.3907,35.0027
Benin,Dogbo,101,3,18,2,101,6.8167,1.7833
United States of America,Dumas,60,1,22,3,60,35.8613,-101.9642
United States of America,Dyersburg,93,1,24,5,93,36.0465,-89.3777
United States of America,Eatontown,28,1,28,8,25,40.2913,-74.0558
United States of America,El Campo,39,1,22,1,39,29.2,-96.2723
