city,country_name,aqi_value,pm25_aqi_value,lat,lng
Lucena,Philippines,32,32,-6.9,-34.8689
Mafeteng,Lesotho,117,117,-29.8167,27.25
Magnolia,United States of America,56,56,33.2775,-93.2261
Maihar,India,171,171,24.262,80.761
Maitland,United States of America,53,53,28.6295,-81.3718
Maitland,United States of America,53,53,-32.7167,151.55
Malakoff,France,40,40,48.8169,2.2944
Malanville,Benin,34,34,11.8667,3.3833
Malnate,Italy,69,69,45.8,8.8833
Manono,Democratic Republic of the Congo,74,74,-7.2947,27.4545
Maracaibo,Venezuela (Bolivarian Republic of),118,118,10.6333,-71.6333
Hagen,Germany,30,25,51.3667,7.4833
Halluin,France,35,35,50.7836,3.1256
Hamburg,Germany,34,34,53.55,10.0
Hamburg,Germany,34,34,42.7394,-78.8581
Hanahan,United States of America,73,73,32.9302,-80.0027
Harmanli,Bulgaria,40,24,41.9333,25.9
Harunabad,Pakistan,500,443,29.613,73.1409
Hattingen,Germany,28,28,51.3992,7.1858
Hauppauge,United States of America,52,52,40.8211,-73.2109
Hayward,United States of America,70,70,37.6328,-122.0766
Heinola,Finland,33,5,61.2,26.0333
Hekinan,Japan,59,23,34.8847,136.9934
Hemsbach,Germany,30,24,49.5903,8.6564
Hengyang,China,169,150,26.8968,112.5857
Hoboken,United States of America,61,61,40.7452,-74.0281
Hoboken,United States of America,61,61,51.1667,4.3667
Hobyo,Somalia,58,58,5.3514,48.5256
Honiara,Solomon Islands,18,6,-9.4319,159.9556
Horqueta,Paraguay,20,20,-23.3442,-57.0436
Hrazdan,Armenia,31,30,40.5,44.7667
Hsinchu,China,138,112,24.8167,120.9833
Huaura,Peru,39,39,-11.1,-77.6
Hwange,Zimbabwe,44,44,-18.3647,26.5
Ichihara,Japan,74,35,35.4981,140.1154
Khed,India,95,95,17.7189,73.3969
Khimki,Russian Federation,40,40,55.8892,37.445
Khotyn,Ukraine,75,75,48.5078,26.486
Kilis,Turkey,64,64,36.7167,37.1167
Killeen,United States of America,40,40,31.0753,-97.7297
Klosterneuburg,Austria,59,59,48.3042,16.3167
Knin,Croatia,48,35,44.0414,16.1986
Kokopo,Papua New Guinea,104,104,-4.35,152.2736
Kola,Russian Federation,30,10,22.43,87.87
Kola,Russian Federation,30,10,68.8833,33.0833
Kotelnikovo,Russian Federation,39,20,47.6333,43.15
Koumra,Chad,59,59,8.91,17.55
Krasnovishersk,Russian Federation,29,29,60.4167,57.1
Krasnyy Yar,Russian Federation,34,24,46.5331,48.3456
Krasnyy Yar,Russian Federation,34,24,53.3239,69.2525
Kronach,Germany,36,36,50.2411,11.3281
Kronberg,Germany,30,27,50.1833,8.5
Kulebaki,Russian Federation,48,48,55.4167,42.5333
Kushiro,Japan,33,9,42.9833,144.3833
Kushiro,Japan,33,9,42.9961,144.4661
La Barca,Mexico,37,37,20.2833,-102.5667
La Crau,France,60,60,43.1497,6.0742
La Entrada,Honduras,55,55,15.05,-88.7333
La Presa,United States of America,58,58,32.711,-117.0027
Ilsede,Germany,41,41,52.2667,10.1833
Imbituba,Brazil,31,31,-28.24,-48.67
Imbituva,Brazil,24,24,-25.23,-50.6044
Inagi,Japan,78,51,35.6379,139.5046
Inca,Spain,43,30,39.7167,2.9167
Indore,India,150,150,22.7167,75.8472
Inverurie,United Kingdom of Great Britain and Northern Ireland,31,25,57.28,-2.38
Ishigaki,Japan,116,64,24.3406,124.1556
Jaen,Spain,36,36,15.3392,120.9069
Jilotepec,Mexico,95,95,19.9519,-99.5328
Jilotepec,Mexico,95,95,19.6113,-96.9224
Kabanga,United Republic of Tanzania,171,171,-2.9022,30.4986
Kajaani,Finland,32,24,64.2311,27.7194
Kalavai,India,59,59,12.7691,79.4196
Kalyazin,Russian Federation,24,19,57.2333,37.8833
Kalynivka,Ukraine,78,78,49.4472,28.5231
Kampot,Cambodia,59,59,10.6,104.1667
Kangasala,Finland,30,14,61.4639,24.065
Karambakkudi,India,84,84,10.4587,79.141
Kawaguchi,Japan,75,34,35.8077,139.7241
Kearns,United States of America,54,54,40.6519,-112.0095
Keerbergen,Belgium,39,39,51.0031,4.6311
Kerrville,United States of America,36,36,30.0398,-99.132
Kettering,United States of America,53,53,52.3931,-0.7229
Kettering,United States of America,53,53,39.6956,-84.1494
Kettering,United States of America,53,53,38.8888,-76.7889
Khammam,India,112,112,17.2473,80.1514
Khandwa,India,130,130,21.82,76.35
Marsciano,Italy,40,23,42.9167,12.3333
Marseille,France,59,59,43.2964,5.37
Mashpee,United States of America,29,17,41.6178,-70.4908
Masindi,Uganda,62,62,1.6836,31.7222
Massakory,Chad,65,65,13.0,15.7333
Medellin,Philippines,78,78,11.1286,123.9622
Media Luna,Cuba,56,56,20.1444,-77.4361
Melgar,Colombia,121,121,4.2039,-74.6428
Mercedes,Argentina,14,3,-33.25,-58.0333
Mercedes,Argentina,14,3,-34.65,-59.4333
Mercedes,Argentina,14,3,14.1093,123.0109
Mercedes,Argentina,14,3,-29.2,-58.0833
Mercedes,Argentina,14,3,26.1533,-97.9128
Merriam,United States of America,95,95,39.0186,-94.6933
Merrill,United States of America,52,52,45.182,-89.6994
Middelharnis,Netherlands,34,32,51.75,4.17
Midyat,Turkey,72,72,37.4167,41.3697
Miguel Alves,Brazil,47,47,-4.1658,-42.895
Minas,Uruguay,22,22,-34.3667,-55.2333
Minas,Uruguay,22,22,21.4894,-77.605
Miranorte,Brazil,41,41,-9.5289,-48.59
Moga,India,159,159,30.822,75.174
Mogliano Veneto,Italy,89,89,45.5619,12.2364
Montauban,France,32,32,44.0181,1.3558
Mortsel,Belgium,40,40,51.1667,4.4667
Moscow,United States of America,30,30,55.7558,37.6178
